('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         962078 function calls (937808 primitive calls) in 7.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      116    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       20    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      214    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
       44    0.000    0.000    0.394    0.009 response.py:1346(_handle_chunk)
        2    0.000    0.000    0.010    0.005 request.py:1(<module>)
      206    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
       21    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.008    0.008 css_match.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.006    0.006 pathlib.py:812(PureWindowsPath)
      260    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      169    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
    29/16    0.000    0.000    0.257    0.016 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      271    0.000    0.000    0.400    0.001 models.py:816(generate)
      129    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      258    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      217    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.048    0.016 response.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        2    0.000    0.000    0.045    0.023 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
    40/31    0.000    0.000    0.008    0.000 css_parser.py:746(parse_pseudo_open)
      204    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       79    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
    81/55    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      263    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      714    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
       58    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       58    0.000    0.000    0.000    0.000 parser.py:124(set_cdata_mode)
       66    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
        8    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
      423    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
  186/184    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       27    0.000    0.000    0.001    0.000 typing.py:740(Optional)
      233    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      195    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
